Name,Sector,Full Time Employees,State,Enterprise Value,Profit Margins,Market Cap,Ask Size,Percentage Increase/Decrease
IDEXX Laboratories,Health Care,9000,ME,25141985280,0.17778999,24086149120,900,-10.8674775064955
IHS Markit Ltd.,Industrials,15500,N/A,31654694912,0.19735001,26009321472,900,-18.9330135708452
Illinois Tool Works,Industrials,45000,IL,57094328320,0.18063,50415509504,800,-15.7272550951897
Illumina Inc,Health Care,7700,CA,44167749632,0.2649,46310879232,800,-12.9146487297436
Incyte,Health Care,1456,DE,20165171200,-0.16868,20844748800,900,-4.60175761408619
Intel Corp.,Information Technology,110800,CA,267863506944,0.30020002,250568114176,1300,-7.9771374435637
Intercontinental Exchange,Financials,6293,GA,59010211840,0.38226002,50202144768,900,-13.4480134716148
International Business Machines,Information Technology,352600,NY,167078658048,0.117790006,109361651712,900,-18.3841242488325
International Paper,Materials,50000,TN,22424666112,0.029879998,12644127744,1100,-26.4726653868082
Interpublic Group,Consumer Discretionary,54300,NY,11188104192,0.07782,6319539200,1800,-31.5600776846847
